channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15,channel16,3.99,3.95,3.9,Bit per symbol/diff modulation format
1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0.002995132,0.003117216,0.002664965,
1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0.002482042,0.002940726,0.002616363,
1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0.002944071,0.003013059,0.002663976,
1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0.002754599,0.003262196,0.002639412,
1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0.003174722,0.003362203,0.002758686,
1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.001943039,0.002059434,0.001751074,
1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0.002095694,0.002508914,0.002023739,
1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0.002130837,0.002297948,0.002076337,
1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0.002450076,0.002756291,0.001943102,
1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0.002094504,0.00241424,0.001892438,
1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0.002250436,0.0026752,0.002212495,
1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0.002297353,0.002477548,0.002134162,
1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0.00268881,0.002946189,0.002349521,
1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0.001878937,0.00230017,0.001957168,
1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0.002396886,0.002518691,0.002086448,
1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0.002215617,0.002464187,0.002027362,
1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0.002497252,0.003001822,0.002210236,
1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.002124209,0.002382017,0.001968841,
1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0.002627806,0.00282345,0.002128712,
1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0.002417689,0.002523518,0.00231926,
1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0.002982425,0.002918633,0.002563738,
1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0.002172597,0.002238545,0.001806822,
1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0.002246289,0.002583844,0.001835545,
1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0.002183833,0.002366545,0.00200799,
1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0.002589536,0.002597723,0.002367601,
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0.002243421,0.002341115,0.002007321,
1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0.002628156,0.002809596,0.002357289,
1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0.002691673,0.002949001,0.002424625,
1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0.002801706,0.002872451,0.00274207,
1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0.002349778,0.002156173,0.0019814,
